序号,招标日期,项目名称,采购人,采购内容,采购所属行业,预算金额(万元),中标价格(万元),中标单位,数据来源平台,省份/地区
28,2024-12,重庆市低空交通发展规划研究咨询服务,重庆市交通运输委员会,低空交通规划咨询,低空交通规划,78.5,78.5,民航机场规划设计研究总院有限公司,中国政府采购网,重庆
29,2024-11,重庆梁平低空经济产业整体策划布局项目,重庆梁平高新区建设开发集团有限公司,低空经济产业策划,低空经济规划,49.5,49.5,中国航空规划设计研究总院有限公司,中国政府采购网,重庆
30,2024-07,安徽低空联合飞行服务中心咨询服务采购,安徽省公共资源交易集团,飞行服务中心咨询,飞行服务咨询,180,180,合肥民航空管科技有限公司,安徽省公共资源交易平台,安徽
31,2024-09,安徽省低空智联研究院ADS-B及VHF设备采购(一标段),安徽省低空智联研究院有限公司,ADS-B设备采购,低空监视设备,69.6,69.6,安徽苍蓝科技有限公司,安徽省公共资源交易平台,安徽
32,2024-09,安徽省低空智联研究院ADS-B及VHF设备采购(二标段),安徽省低空智联研究院有限公司,VHF设备采购,低空通信设备,123.8,123.8,郑州华航科技股份有限公司,安徽省公共资源交易平台,安徽
33,2024-12,合肥市无人机大气综合巡检服务项目,合肥市生态环境局,无人机巡检服务,低空应用服务,86,86,中国铁塔股份有限公司安徽省分公司,安徽省公共资源交易平台,安徽
34,2024-12,合肥市公安局特警支队无人机及配套设施采购,合肥市公安局特警支队,无人机及配套设施,无人机采购,73.4,73.4,安徽福海电子技术有限公司,安徽省公共资源交易平台,安徽
35,2024-10,山东高速"低空天网"产品及技术合作单位征集,山东高速城乡发展集团有限公司,低空天网飞行器采购,低空天网,-,-,待公布,山东高速招标采购平台,山东
36,2024-11,济南平阴县低空经济特许经营权出让项目,平阴县发改局,低空经济30年特许经营权,低空经济经营权,92400,92400,山东金宇通用航空有限公司(已中止),济南公共资源交易中心,山东
37,2024-01,上海警用无人机服务公开招标,上海市公安局警务航空队,警用无人机服务,低空警务,2000,-,待公布,上海市公共资源交易平台,上海
38,2025-01,上海浦东综合执法无人机飞行辅助服务(外环内),上海浦东新区,无人机飞行辅助服务,低空应用服务,407.15,407.15,鹰飞航空科技（上海）有限公司,中国政府采购网,上海
39,2025-01,崇明本岛海塘无人机巡查项目,崇明区相关部门,无人机巡查服务,低空应用服务,109.8,109.8,上海慧璟航空科技有限公司,中国政府采购网,上海
40,2025-01,昆明经开区森林防火无人机地空一体远程巡查调度系统,昆明经济技术开发区,森林防火无人机系统,低空应用系统,471.3,471.3,云南云智城市服务有限责任公司,云南省公共资源交易平台,云南
41,2025-01,茂名监狱低空域智能警戒巡防系统采购,茂名监狱,低空智能警戒系统,低空安全系统,59.8,59.8,中国电信股份有限公司茂名分公司,广东省政府采购网,广东
42,2025-05,金华市自然灾害应急能力提升工程(中大型无人机),金华市应急管理局,无人机应急装备,低空应急装备,1102,1102,中国铁塔股份有限公司金华市分公司,浙江省公共资源交易平台,浙江
43,2025-05,中国信通院低空无线环境监测和管制技术验证平台建设,中国信息通信研究院,低空无线环境监测,低空监测系统,139.33,139.33,珠海市瑞励科技有限公司,中国政府采购网,北京
44,2025-05,中国信通院低空无线环境监测项目(无人机姿态模拟台等),中国信息通信研究院,无人机姿态模拟设备,低空测试设备,115.1,115.1,福立达技术/天津德力仪器,中国政府采购网,北京
45,2024-12,泸州低空飞行服务平台及配套设施建设项目,泸州市相关部门,低空飞行服务平台,飞行服务平台,106000,-,待公布,四川省公共资源交易平台,四川
46,2025-03,绍兴市低空综合应用服务平台飞行服务及场景建设,绍兴市低空产业发展有限公司,飞行服务平台及AI算法,飞行服务平台,379,-,待公布,浙江省公共资源交易平台,浙江
47,2025-03,长三角示范区低空经济高质量发展专项规划编制,长三角示范区管委会,低空经济规划编制,低空经济规划,90,-,待公布,上海市公共资源交易平台,上海
48,2025-03,南京江北新区低空经济产业发展及基础设施规划,南京江北新区管委会,低空经济产业规划,低空经济规划,100,-,待公布,南京市公共资源交易平台,江苏
49,2025-03,太原市低空经济发展规划方案编制,太原市发展改革委,低空经济规划编制,低空经济规划,98,-,待公布,山西省公共资源交易平台,山西
50,2025-03,河北省航空应急无人机公网通信设备项目,河北省应急管理厅,无人机公网通信设备,低空通信设备,390,-,待公布,河北省公共资源交易平台,河北
51,2025-03,雷达-低空经济综合应用采购项目(中国电信),中国电信相关分公司,低空雷达设备,低空感知设备,110,-,待公布,中国电信招标平台,全国
52,2025-03,光电系统-低空经济综合应用采购项目(中国电信),中国电信相关分公司,低空光电设备,低空感知设备,520,-,待公布,中国电信招标平台,全国
53,2025-03,盘锦市北斗应用及低空经济产业发展规划编制,盘锦市发展改革委,低空经济规划编制,低空经济规划,65,-,待公布,辽宁省公共资源交易平台,辽宁
54,2025-03,内蒙古"十五五"低空经济发展规划,内蒙古发展改革委,低空经济规划编制,低空经济规划,50,-,待公布,内蒙古公共资源交易平台,内蒙古
55,2025-03,内蒙古森林草原航空消防租机采购项目(23个包),内蒙古林草局,航空消防租机,低空应用服务,17080,-,待公布,内蒙古公共资源交易平台,内蒙古
56,2025-03,曲靖市消防救援支队无人机实训基地项目,曲靖市消防救援支队,无人机实训基地,低空培训,268.23,-,待公布,云南省公共资源交易平台,云南
57,2025-03,新丰县低空科技研学基地教学设备采购,新丰县教育局,低空科技教学设备,低空教育,235.6,-,待公布,广东省政府采购网,广东
58,2025-03,普阳煤矿边坡雷达监测设备和自动化无人机场系统采购,普阳煤矿,无人机场系统,低空基础设施,203,-,待公布,山西省公共资源交易平台,山西
59,2025-03,江西翔通用航空无人机采购项目,江西翔通用航空公司,无人机采购,无人机采购,386.09,-,待公布,江西省公共资源交易平台,江西
60,2024-12,松滋市低空经济高质量发展总体规划编制项目,松滋市发展改革局,低空经济规划编制,低空经济规划,-,-,待公布,湖北省政府采购网,湖北
61,2025-07,绍兴低空综合应用服务平台和低空融合运行管理平台项目监理,绍兴市低空产业发展有限公司,低空平台监理服务,低空平台监理,8159.99,-,待公布,浙江省公共资源交易平台,浙江
62,2025-05,河北省矿产资源领域低空监管技术支撑(唐山市)项目,河北省自然资源厅,低空监管技术,低空监管,235.55,-,待公布,河北省公共资源交易平台,河北
63,2025-05,萧山机场反无人机扰航能力示范建设项目,浙江省低空产业发展有限公司,反无人机设备,低空安全系统,-,-,待公布,浙江省公共资源交易平台,浙江
64,2025-05,苏州湾低空智能飞行器研发及生产基地项目,苏州吴中滨湖新城科技发展有限公司,低空飞行器研发基地,低空产业基地,33441.6,-,待公布,江苏省公共资源交易平台,江苏
65,2024-12,中国民航珠海空管站通勤班车运输服务(2025-2027),中国民航珠海空中交通管理站,空管站通勤服务,空管服务,214.326,214.326,珠海机场汽车运输有限公司,民航专业工程招标投标管理系统,广东
66,2025-05,宁波低空无人机巢平台在耕地保护中试点应用,宁波市自然资源局,无人机巢平台,低空应用平台,-,-,待公布,浙江省公共资源交易平台,浙江
67,2025-05,无锡无人机管控设备采购项目,无锡市相关部门,无人机管控设备,低空管控设备,-,-,待公布,无锡政府采购网,江苏
68,2025-06,飞行智能监管服务平台技术研发服务项目,相关部门,智能空管平台研发,低空空管平台,-,-,待公布,中国采购与招标网,全国
69,2024-01,无锡市低空经济发展规划及实施方案,无锡市交通运输局,低空经济规划,低空经济规划,-,-,待公布,无锡市公共资源交易平台,江苏
70,2024-11,广州(花都)低空经济发展综合保障基地(一期)设计,广州市花都区相关部门,低空经济保障基地设计,低空基础设施,-,-,待公布,广州市公共资源交易平台,广东
